drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price
Lisinopril,60601,20mg,30 tablets,Walgreens Specialty Pharmacy,$4.83,Special offers,17.33,4.83
Lisinopril,60601,20mg,30 tablets,Capsule Pharmacy,$17.34,No special offer,N/A,N/A
Metformin,10001,500mg,60 tablets,CVS Pharmacy,$19.64,Special offers,28.74,19.64
Metformin,10001,500mg,60 tablets,Walgreens,$4.86,Special offers,19.86,4.86
Metformin,10001,500mg,60 tablets,Duane Reade,$4.86,Special offers,19.86,4.86
Metformin,10001,500mg,60 tablets,Target (CVS),$19.64,Special offers,28.74,19.64
Metformin,10001,500mg,60 tablets,ShopRite,$7.97,Special offers,10.00,7.97
Metformin,10001,500mg,60 tablets,Capsule Pharmacy,$20.43,No special offer,N/A,N/A
Metformin,10001,500mg,60 tablets,"Acme Markets Pharmacy
Pay online",$2.00,Special offers,9.74,2.00
Metformin,10001,500mg,60 tablets,Costco,$13.99,Special offers,16.99,13.99
Metformin,10001,500mg,60 tablets,Wegmans,$2.82,Special offers,8.32,2.82
Metformin,10001,500mg,60 tablets,Walmart,$9.00,No special offer,N/A,N/A
Metformin,10001,500mg,60 tablets,Walgreens Specialty Pharmacy,$4.86,Special offers,19.86,4.86
Metformin,10001,500mg,60 tablets,"ACME Sav-On
Pay online",$2.00,Special offers,9.74,2.00
Metformin,10001,500mg,60 tablets,Sams Club,$9.82,No special offer,N/A,N/A
Metformin,10001,500mg,60 tablets,Walmart Neighborhood Market,$9.00,No special offer,N/A,N/A
Metformin,10001,500mg,60 tablets,King Kullen,$6.52,Special offers,10.00,6.52
Metformin,10001,500mg,60 tablets,Rite Aid,$11.36,No special offer,N/A,N/A
Metformin,90001,500mg,60 tablets,CVS Pharmacy,$19.64,Special offers,28.74,19.64
Metformin,90001,500mg,60 tablets,Walgreens,$4.86,Special offers,19.86,4.86
Metformin,90001,500mg,60 tablets,"Vons Pharmacy
Pay online",$2.00,Special offers,9.74,2.00
Metformin,90001,500mg,60 tablets,"Albertsons (Sav-on)
Pay online",$2.00,Special offers,9.74,2.00
Metformin,90001,500mg,60 tablets,Target (CVS),$19.64,Special offers,28.74,19.64
Metformin,90001,500mg,60 tablets,"Pavilions Pharmacy
Pay online",$2.00,Special offers,9.74,2.00
Metformin,90001,500mg,60 tablets,Costco,$13.99,Special offers,16.99,13.99
Metformin,90001,500mg,60 tablets,Ralphs,$14.87,No special offer,N/A,N/A
Metformin,90001,500mg,60 tablets,Walmart,$9.00,No special offer,N/A,N/A
Metformin,90001,500mg,60 tablets,Walmart Neighborhood Market,$9.00,No special offer,N/A,N/A
Metformin,90001,500mg,60 tablets,Sams Club,$9.82,No special offer,N/A,N/A
Metformin,90001,500mg,60 tablets,Walgreens Specialty Pharmacy,$4.86,Special offers,19.86,4.86
Metformin,90001,500mg,60 tablets,Rite Aid,$11.36,No special offer,N/A,N/A
Metformin,90001,500mg,60 tablets,Capsule Pharmacy,$20.43,No special offer,N/A,N/A
Metformin,60601,500mg,60 tablets,Walgreens,$4.86,Special offers,19.86,4.86
Metformin,60601,500mg,60 tablets,Jewel-Osco,$2.00,Special offers,9.74,2.00
Metformin,60601,500mg,60 tablets,CVS Pharmacy,$19.64,Special offers,28.74,19.64
Metformin,60601,500mg,60 tablets,Meijer Pharmacy,$8.18,No special offer,N/A,N/A
Metformin,60601,500mg,60 tablets,Target (CVS),$19.64,Special offers,28.74,19.64
Metformin,60601,500mg,60 tablets,Costco,$13.99,Special offers,16.99,13.99
