drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price
Hydrochlorothiazide,10001,25mg,30 tablets,"Acme Markets Pharmacy
Pay online",$2.00,Special offers,8.72,2.00
Hydrochlorothiazide,10001,25mg,30 tablets,Capsule Pharmacy,$16.95,No special offer,N/A,N/A
Hydrochlorothiazide,10001,25mg,30 tablets,Wegmans,$0.81,Special offers,5.31,0.81
Hydrochlorothiazide,10001,25mg,30 tablets,Walmart,$4.00,No special offer,N/A,N/A
Hydrochlorothiazide,10001,25mg,30 tablets,"ACME Sav-On
Pay online",$2.00,Special offers,8.72,2.00
Hydrochlorothiazide,10001,25mg,30 tablets,Walgreens Specialty Pharmacy,$2.00,Special offers,4.48,2.00
Hydrochlorothiazide,10001,25mg,30 tablets,Rite Aid,$9.00,No special offer,N/A,N/A
Hydrochlorothiazide,10001,25mg,30 tablets,Walmart Neighborhood Market,$4.00,No special offer,N/A,N/A
Hydrochlorothiazide,10001,25mg,30 tablets,King Kullen,$2.88,Special offers,8.05,2.88
Hydrochlorothiazide,90001,25mg,30 tablets,CVS Pharmacy,$19.22,Special offers,28.12,19.22
Hydrochlorothiazide,90001,25mg,30 tablets,Costco,$7.50,Special offers,10.00,7.50
Hydrochlorothiazide,90001,25mg,30 tablets,Walgreens,$2.00,Special offers,4.48,2.00
Hydrochlorothiazide,90001,25mg,30 tablets,"Vons Pharmacy
Pay online",$2.00,Special offers,8.72,2.00
Hydrochlorothiazide,90001,25mg,30 tablets,"Albertsons (Sav-on)
Pay online",$2.00,Special offers,8.72,2.00
Hydrochlorothiazide,90001,25mg,30 tablets,Target (CVS),$19.22,Special offers,28.12,19.22
Hydrochlorothiazide,90001,25mg,30 tablets,Ralphs,$6.39,No special offer,N/A,N/A
Hydrochlorothiazide,90001,25mg,30 tablets,"Pavilions Pharmacy
Pay online",$2.00,Special offers,8.72,2.00
Hydrochlorothiazide,90001,25mg,30 tablets,Walmart Neighborhood Market,$4.00,No special offer,N/A,N/A
Hydrochlorothiazide,90001,25mg,30 tablets,Walgreens Specialty Pharmacy,$2.00,Special offers,4.48,2.00
Hydrochlorothiazide,90001,25mg,30 tablets,Walmart,$4.00,No special offer,N/A,N/A
Hydrochlorothiazide,90001,25mg,30 tablets,Capsule Pharmacy,$16.95,No special offer,N/A,N/A
Hydrochlorothiazide,90001,25mg,30 tablets,Rite Aid,$9.00,No special offer,N/A,N/A
N/A,10001,N/A,N/A,CVS Pharmacy,$20.99,Special offers,30.09,20.99
N/A,10001,N/A,N/A,Walgreens,$2.00,Special offers,9.26,2.00
N/A,10001,N/A,N/A,Duane Reade,$2.00,Special offers,9.26,2.00
N/A,10001,N/A,N/A,Target (CVS),$20.99,Special offers,30.09,20.99
N/A,10001,N/A,N/A,Costco,$16.50,Special offers,19.00,16.50
N/A,10001,N/A,N/A,ShopRite,$6.01,Special offers,10.30,6.01
N/A,10001,N/A,N/A,Capsule Pharmacy,$18.18,No special offer,N/A,N/A
N/A,10001,N/A,N/A,"Acme Markets Pharmacy
Pay online",$2.00,Special offers,10.01,2.00
N/A,10001,N/A,N/A,Wegmans,$7.05,Special offers,11.55,7.05
N/A,10001,N/A,N/A,King Kullen,$6.01,Special offers,10.30,6.01
N/A,10001,N/A,N/A,"ACME Sav-On
Pay online",$2.00,Special offers,10.01,2.00
N/A,10001,N/A,N/A,Walgreens Specialty Pharmacy,$2.00,Special offers,9.26,2.00
N/A,10001,N/A,N/A,Walmart,$4.00,No special offer,N/A,N/A
N/A,10001,N/A,N/A,Rite Aid,$12.06,Special offers,13.06,12.06
N/A,10001,N/A,N/A,Walmart Neighborhood Market,$4.00,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Walgreens,$2.00,Special offers,9.26,2.00
N/A,60601,N/A,N/A,Jewel-Osco,$2.00,Special offers,10.01,2.00
N/A,60601,N/A,N/A,CVS Pharmacy,$20.99,Special offers,30.09,20.99
N/A,60601,N/A,N/A,Meijer Pharmacy,$9.26,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Target (CVS),$20.99,Special offers,30.09,20.99
N/A,60601,N/A,N/A,Costco,$16.50,Special offers,19.00,16.50
N/A,60601,N/A,N/A,Mariano's,$5.78,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Walmart,$4.00,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Walgreens Specialty Pharmacy,$2.00,Special offers,9.26,2.00
N/A,60601,N/A,N/A,Aurora Pharmacy,$8.32,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Walmart Neighborhood Market,$4.00,No special offer,N/A,N/A
N/A,60601,N/A,N/A,Capsule Pharmacy,$18.18,No special offer,N/A,N/A
