drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price,online_pharmacy,city
Lisinopril,60601,20mg,30 tablets,Mariano's,7.79,no special offer,,,False,Chicago
Lisinopril,60601,20mg,30 tablets,Sams Club,7.84,special offers,10.34,7.84,False,Chicago
Lisinopril,60601,20mg,30 tablets,Aurora Pharmacy,5.92,no special offer,,,False,Chicago
Lisinopril,60601,20mg,30 tablets,Walmart Neighborhood Market,9.0,no special offer,,,False,Chicago
Lisinopril,60601,20mg,30 tablets,Walgreens Specialty Pharmacy,4.83,special offers,17.33,4.83,False,Chicago
Lisinopril,60601,20mg,30 tablets,Capsule Pharmacy,17.34,no special offer,,,False,Chicago
Metformin,10001,500mg,60 tablets,CVS Pharmacy,19.64,special offers,28.74,19.64,False,New York
Metformin,10001,500mg,60 tablets,Walgreens,4.86,special offers,19.86,4.86,False,New York
Metformin,10001,500mg,60 tablets,Duane Reade,4.86,special offers,19.86,4.86,False,New York
Metformin,10001,500mg,60 tablets,Target (CVS),19.64,special offers,28.74,19.64,False,New York
Metformin,10001,500mg,60 tablets,ShopRite,7.97,special offers,10.0,7.97,False,New York
Metformin,10001,500mg,60 tablets,Capsule Pharmacy,20.43,no special offer,,,False,New York
Metformin,10001,500mg,60 tablets,Acme Markets Pharmacy Pay online,2.0,special offers,9.74,2.0,True,New York
Metformin,10001,500mg,60 tablets,Costco,13.99,special offers,16.99,13.99,False,New York
Metformin,10001,500mg,60 tablets,Wegmans,2.82,special offers,8.32,2.82,False,New York
Metformin,10001,500mg,60 tablets,Walmart,9.0,no special offer,,,False,New York
Metformin,10001,500mg,60 tablets,Walgreens Specialty Pharmacy,4.86,special offers,19.86,4.86,False,New York
Metformin,10001,500mg,60 tablets,ACME Sav-On Pay online,2.0,special offers,9.74,2.0,True,New York
Metformin,10001,500mg,60 tablets,Sams Club,9.82,no special offer,,,False,New York
Metformin,10001,500mg,60 tablets,Walmart Neighborhood Market,9.0,no special offer,,,False,New York
Metformin,10001,500mg,60 tablets,King Kullen,6.52,special offers,10.0,6.52,False,New York
Metformin,10001,500mg,60 tablets,Rite Aid,11.36,no special offer,,,False,New York
Metformin,90001,500mg,60 tablets,CVS Pharmacy,19.64,special offers,28.74,19.64,False,Los Angeles
Metformin,90001,500mg,60 tablets,Walgreens,4.86,special offers,19.86,4.86,False,Los Angeles
Metformin,90001,500mg,60 tablets,Vons Pharmacy Pay online,2.0,special offers,9.74,2.0,True,Los Angeles
Metformin,90001,500mg,60 tablets,Albertsons (Sav-on) Pay online,2.0,special offers,9.74,2.0,True,Los Angeles
Metformin,90001,500mg,60 tablets,Target (CVS),19.64,special offers,28.74,19.64,False,Los Angeles
Metformin,90001,500mg,60 tablets,Pavilions Pharmacy Pay online,2.0,special offers,9.74,2.0,True,Los Angeles
Metformin,90001,500mg,60 tablets,Costco,13.99,special offers,16.99,13.99,False,Los Angeles
Metformin,90001,500mg,60 tablets,Ralphs,14.87,no special offer,,,False,Los Angeles
Metformin,90001,500mg,60 tablets,Walmart,9.0,no special offer,,,False,Los Angeles
Metformin,90001,500mg,60 tablets,Walmart Neighborhood Market,9.0,no special offer,,,False,Los Angeles
Metformin,90001,500mg,60 tablets,Sams Club,9.82,no special offer,,,False,Los Angeles
Metformin,90001,500mg,60 tablets,Walgreens Specialty Pharmacy,4.86,special offers,19.86,4.86,False,Los Angeles
Metformin,90001,500mg,60 tablets,Rite Aid,11.36,no special offer,,,False,Los Angeles
Metformin,90001,500mg,60 tablets,Capsule Pharmacy,20.43,no special offer,,,False,Los Angeles
Metformin,60601,500mg,60 tablets,Walgreens,4.86,special offers,19.86,4.86,False,Chicago
Metformin,60601,500mg,60 tablets,Jewel-Osco,2.0,special offers,9.74,2.0,False,Chicago
Metformin,60601,500mg,60 tablets,CVS Pharmacy,19.64,special offers,28.74,19.64,False,Chicago
Metformin,60601,500mg,60 tablets,Meijer Pharmacy,8.18,no special offer,,,False,Chicago
Metformin,60601,500mg,60 tablets,Target (CVS),19.64,special offers,28.74,19.64,False,Chicago
Metformin,60601,500mg,60 tablets,Costco,13.99,special offers,16.99,13.99,False,Chicago
Metformin,60601,500mg,60 tablets,Walmart,9.0,no special offer,,,False,Chicago
Metformin,60601,500mg,60 tablets,Mariano's,14.87,no special offer,,,False,Chicago
Metformin,60601,500mg,60 tablets,Sams Club,9.82,no special offer,,,False,Chicago
Metformin,60601,500mg,60 tablets,Aurora Pharmacy,6.89,no special offer,,,False,Chicago
Metformin,60601,500mg,60 tablets,Walmart Neighborhood Market,9.0,no special offer,,,False,Chicago
Metformin,60601,500mg,60 tablets,Walgreens Specialty Pharmacy,4.86,special offers,19.86,4.86,False,Chicago
Metformin,60601,500mg,60 tablets,Capsule Pharmacy,20.43,no special offer,,,False,Chicago
Amlodipine,10001,10mg,30 tablets,CVS Pharmacy,19.22,special offers,28.32,19.22,False,New York
Amlodipine,10001,10mg,30 tablets,Walgreens,10.13,special offers,17.63,10.13,False,New York
Amlodipine,10001,10mg,30 tablets,ShopRite,10.44,no special offer,,,False,New York
Amlodipine,10001,10mg,30 tablets,Duane Reade,10.13,special offers,17.63,10.13,False,New York
Amlodipine,10001,10mg,30 tablets,Costco,12.99,special offers,17.99,12.99,False,New York
Amlodipine,10001,10mg,30 tablets,Target (CVS),19.22,special offers,28.32,19.22,False,New York
Amlodipine,10001,10mg,30 tablets,Capsule Pharmacy,18.86,no special offer,,,False,New York
Amlodipine,10001,10mg,30 tablets,Acme Markets Pharmacy Pay online,2.88,special offers,7.88,2.88,True,New York
Amlodipine,10001,10mg,30 tablets,Wegmans,3.05,special offers,8.05,3.05,False,New York
Amlodipine,10001,10mg,30 tablets,Walmart,9.0,no special offer,,,False,New York
Amlodipine,10001,10mg,30 tablets,ACME Sav-On Pay online,2.88,special offers,7.88,2.88,True,New York
Amlodipine,10001,10mg,30 tablets,Sams Club,7.26,special offers,9.76,7.26,False,New York
Amlodipine,10001,10mg,30 tablets,Walgreens Specialty Pharmacy,10.13,special offers,17.63,10.13,False,New York
Amlodipine,10001,10mg,30 tablets,King Kullen,6.05,special offers,10.44,6.05,False,New York
Amlodipine,10001,10mg,30 tablets,Walmart Neighborhood Market,9.0,no special offer,,,False,New York
Amlodipine,10001,10mg,30 tablets,Rite Aid,11.02,no special offer,,,False,New York
Amlodipine,90001,10mg,30 tablets,CVS Pharmacy,19.22,special offers,28.32,19.22,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Walgreens,10.13,special offers,17.63,10.13,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Albertsons (Sav-on) Pay online,2.88,special offers,7.88,2.88,True,Los Angeles
Amlodipine,90001,10mg,30 tablets,Vons Pharmacy Pay online,2.88,special offers,7.88,2.88,True,Los Angeles
Amlodipine,90001,10mg,30 tablets,Costco,12.99,special offers,17.99,12.99,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Target (CVS),19.22,special offers,28.32,19.22,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Pavilions Pharmacy Pay online,2.88,special offers,7.88,2.88,True,Los Angeles
Amlodipine,90001,10mg,30 tablets,Ralphs,7.53,no special offer,,,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Walmart,9.0,no special offer,,,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Walgreens Specialty Pharmacy,10.13,special offers,17.63,10.13,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Sams Club,7.26,special offers,9.76,7.26,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Walmart Neighborhood Market,9.0,no special offer,,,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Rite Aid,11.02,no special offer,,,False,Los Angeles
Amlodipine,90001,10mg,30 tablets,Capsule Pharmacy,18.86,no special offer,,,False,Los Angeles
Amlodipine,60601,10mg,30 tablets,Walgreens,10.13,special offers,17.63,10.13,False,Chicago
Amlodipine,60601,10mg,30 tablets,Jewel-Osco,2.88,special offers,7.88,2.88,False,Chicago
