drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price,online_pharmacy,city
Hydrochlorothiazide,10001,25mg,30 tablets,Walgreens Specialty Pharmacy,2.0,special offers,4.48,2.0,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Rite Aid,9.0,no special offer,,,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,Walmart Neighborhood Market,4.0,no special offer,,,False,New York
Hydrochlorothiazide,10001,25mg,30 tablets,King Kullen,2.88,special offers,8.05,2.88,False,New York
Hydrochlorothiazide,90001,25mg,30 tablets,CVS Pharmacy,19.22,special offers,28.12,19.22,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Costco,7.5,special offers,10.0,7.5,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Walgreens,2.0,special offers,4.48,2.0,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Vons Pharmacy Pay online,2.0,special offers,8.72,2.0,True,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Albertsons (Sav-on) Pay online,2.0,special offers,8.72,2.0,True,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Target (CVS),19.22,special offers,28.12,19.22,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Ralphs,6.39,no special offer,,,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Pavilions Pharmacy Pay online,2.0,special offers,8.72,2.0,True,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Walmart Neighborhood Market,4.0,no special offer,,,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Walgreens Specialty Pharmacy,2.0,special offers,4.48,2.0,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Walmart,4.0,no special offer,,,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Capsule Pharmacy,16.95,no special offer,,,False,Los Angeles
Hydrochlorothiazide,90001,25mg,30 tablets,Rite Aid,9.0,no special offer,,,False,Los Angeles
